"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.713453833E0,9.148974609E0,-1.346734451E1,1.802850952E0,1.638057924E1
1.723518833E0,9.435329132E0,-1.274240204E1,3.894002380E0,1.632658875E1
1.733583833E0,1.135927826E1,-1.115884506E1,4.914430389E0,1.666447274E1
1.743648833E0,1.298310150E1,-8.939560089E0,4.488715668E0,1.638979034E1
1.753713833E0,1.012030472E1,-3.577111359E0,-4.296215973E0,1.156173711E1
1.763778833E0,8.687484283E0,-6.138435059E0,2.000290375E0,1.082376689E1
1.773843833E0,8.594826965E0,-7.505691833E0,3.704197083E0,1.199698031E1
1.783908833E0,8.191864929E0,-8.263715515E0,5.265749817E0,1.277199148E1
1.793974833E0,1.055021072E1,-8.468639374E0,7.143295441E0,1.529874076E1
1.804039833E0,1.299986664E1,-5.148992615E0,1.310345123E1,1.916270053E1
1.814104833E0,1.490839783E1,-7.487429810E-1,7.723937988E0,1.680714610E1
1.824169833E0,1.518337601E1,4.266577606E0,1.398541718E0,1.583333542E1
1.834234833E0,1.641905640E1,9.455986176E0,-1.688039703E0,1.902237013E1
1.844300083E0,1.585458023E1,9.868079224E0,-2.410437469E0,1.882968164E1
1.854365083E0,1.277593231E1,7.119345245E0,-3.547023926E0,1.504961468E1
1.864430083E0,9.782906342E0,2.108066254E0,-2.408192139E0,1.029313311E1
1.874495083E0,7.153025208E0,-2.651585999E0,5.197192383E-1,7.646357696E0
1.884561083E0,4.957989807E0,-5.726192322E0,1.585502930E0,7.738524470E0
1.894626083E0,3.838467865E0,-7.655829620E0,1.373394012E0,8.673625184E0
1.904691083E0,4.162843323E0,-8.534801788E0,1.659898224E0,9.639884243E0
1.914756083E0,5.028493195E0,-8.593030701E0,1.752854919E0,1.010932346E1
1.924821083E0,6.153553619E0,-6.978787537E0,1.166075134E0,9.377069310E0
