"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.872954229E1,2.893932037E0,-8.834777985E0,-3.891307983E0,1.007821524E1
6.873960829E1,3.305725708E0,-8.069868622E0,-4.293671265E0,9.720401996E0
6.874967429E1,4.870571594E0,-7.383096771E0,-5.230572968E0,1.027577146E1
6.875974029E1,5.469775543E0,-7.263495483E0,-4.620292053E0,1.019921123E1
6.876980629E1,5.010530548E0,-7.882757721E0,-3.096760254E0,9.840386666E0
6.877987229E1,3.681594086E0,-8.851543121E0,-1.252146149E0,9.668082572E0
6.878993829E1,3.006947021E0,-9.368118896E0,5.688171387E-3,9.838872619E0
6.880000429E1,2.705174561E0,-9.806407471E0,7.934999084E-1,1.020358951E1
6.881007029E1,2.387385406E0,-1.004605911E1,1.561852112E0,1.044328946E1
6.882013629E1,2.573298798E0,-1.006087830E1,1.917362823E0,1.056027552E1
6.883020229E1,2.877316589E0,-1.013587234E1,2.033970337E0,1.073088507E1
6.884026829E1,3.450025635E0,-1.054991135E1,1.542991333E0,1.120643246E1
6.885033429E1,4.264781342E0,-1.097936829E1,3.138972473E-1,1.178275941E1
6.886040029E1,5.369184723E0,-1.096679443E1,-1.537901917E0,1.230706574E1
6.887046629E1,5.693410492E0,-1.047701294E1,-3.915407867E0,1.255042397E1
6.888053329E1,3.866160278E0,-1.069421127E1,-5.375022583E0,1.257792582E1
6.889059929E1,1.784289551E0,-1.160147461E1,-4.446952515E0,1.255202330E1
6.890066529E1,9.273216248E-1,-1.276859756E1,-2.742746429E0,1.309273337E1
6.891073129E1,8.481362915E-1,-1.427371765E1,-1.284179535E0,1.435644343E1
6.892079729E1,6.134243774E-1,-1.580174011E1,-4.561015320E-1,1.582021835E1
6.893086329E1,-4.715194702E-2,-1.658012146E1,1.818717957E-1,1.658118597E1
6.894092929E1,-5.782475281E-1,-1.654479492E1,-6.586303711E-2,1.655502785E1
6.895099529E1,-4.346960449E-1,-1.617611160E1,-1.513802032E0,1.625260422E1
6.896106129E1,8.427474976E-2,-1.590801910E1,-3.419938202E0,1.627169786E1
6.897112729E1,9.358538818E-1,-1.586625595E1,-4.517904968E0,1.652347922E1
6.898119329E1,1.826352081E0,-1.546194672E1,-4.601580963E0,1.623520574E1
6.899125929E1,2.820584564E0,-1.452953568E1,-5.243296509E0,1.570207829E1
6.900132529E1,4.821623383E0,-1.343650864E1,-7.000043335E0,1.589932147E1
6.901139129E1,7.475305023E0,-1.238195160E1,-7.493567047E0,1.628945848E1
6.902145729E1,9.660910034E0,-1.143621826E1,-4.207300873E0,1.555061579E1
6.903152329E1,9.799072723E0,-1.082069824E1,7.066804504E-1,1.461535952E1
6.904158929E1,9.113797760E0,-1.092922256E1,3.742068329E0,1.471435662E1
6.905165529E1,9.208700409E0,-1.183693497E1,5.419929199E0,1.594643613E1
6.906172129E1,9.996661835E0,-1.266127075E1,6.687343597E0,1.746314947E1
6.907178729E1,1.114237930E1,-1.248074615E1,7.218738556E0,1.822174052E1
6.908185429E1,1.222986786E1,-1.126766876E1,7.685767365E0,1.831941722E1
6.909192029E1,1.304267761E1,-9.180259552E0,7.142097931E0,1.747564498E1
6.910198629E1,1.147184418E1,-7.592810669E0,5.526058502E0,1.482536021E1
6.911205229E1,8.556955719E0,-6.968159637E0,4.346212006E0,1.186028240E1
6.912211829E1,6.138135681E0,-6.934329987E0,3.709585876E0,9.976104920E0
6.913218429E1,4.619842987E0,-7.461533661E0,2.459984436E0,9.114217313E0
6.914225029E1,3.713926849E0,-8.388406219E0,1.167721710E0,9.247820583E0
6.915231629E1,2.727927246E0,-9.520502014E0,1.357676697E-1,9.904543327E0
6.916238229E1,7.318281555E-1,-1.067804489E1,-9.142987061E-1,1.074207416E1
6.917244829E1,-1.664538574E0,-1.128608047E1,-3.115471344E0,1.182592334E1
6.918251429E1,-3.297043762E0,-1.131197662E1,-3.715723114E0,1.235467162E1
6.919258029E1,-3.988156586E0,-1.092682755E1,-1.343156891E0,1.170918544E1
6.920264629E1,-3.785328369E0,-1.045605652E1,8.023315430E-1,1.114906116E1
6.921271229E1,-2.201472015E0,-9.701325989E0,1.396446075E0,1.004550977E1
6.922277829E1,-5.358856201E-1,-8.328830109E0,1.942061462E0,8.569024863E0
6.923284429E1,3.291654968E-1,-6.770121460E0,2.496358795E0,7.223205780E0
6.924291029E1,1.311123505E0,-5.328319702E0,3.004402313E0,6.255914717E0
6.925297629E1,2.180515594E0,-4.046984253E0,3.582051086E0,5.827848641E0
6.926304229E1,3.034340057E0,-2.787802734E0,4.186344452E0,5.874056821E0
6.927310829E1,3.736829224E0,-7.804769897E-1,4.900060272E0,6.211572076E0
6.928317429E1,4.592899017E0,1.040186920E0,5.544919281E0,7.274808592E0
6.929324129E1,5.543871460E0,4.064048767E-1,5.824687500E0,8.051500491E0
6.930330729E1,5.430108032E0,-1.874701538E0,5.501060486E0,7.953756695E0
6.931337329E1,4.177363129E0,-2.270777893E0,4.262685699E0,6.385709383E0
6.932343929E1,3.510050812E0,-2.172582092E0,3.185825043E0,5.214408006E0
6.933350529E1,3.369343414E0,-2.434687042E0,2.816692657E0,5.021347784E0
6.934357129E1,3.170856171E0,-2.776276703E0,2.348316650E0,4.824586229E0
6.935363729E1,3.016676788E0,-3.108885040E0,1.585652618E0,4.613003280E0
6.936370329E1,2.901266785E0,-3.421435089E0,3.215313721E-1,4.497438098E0
6.937376929E1,3.405268707E0,-4.051923981E0,-2.118394775E0,5.701012133E0
6.938383529E1,5.054089966E0,-5.482648773E0,-6.706952820E0,1.002928108E1
6.939390129E1,7.122937775E0,-8.362809448E0,-1.637639511E1,1.971951169E1
6.940396729E1,8.117918701E0,-1.394095963E1,-2.508513519E1,2.982473750E1
6.941403329E1,5.591472473E0,-2.108575195E1,-2.398971313E1,3.242498784E1
6.942409929E1,1.896855469E0,-2.583387817E1,-1.707229797E1,3.102338925E1
6.943416529E1,4.508624268E-1,-2.600108047E1,-1.216220856E1,2.870851406E1
6.944423129E1,3.301833801E0,-2.050510941E1,-9.412277069E0,2.280246868E1
