"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.610349500E0,1.184397034E1,-1.148112488E0,2.119592285E0,1.208678895E1
2.620415500E0,1.257564880E1,-8.948391724E-1,1.714983673E0,1.272355489E1
2.630481500E0,1.311243256E1,-7.138655090E-1,1.423689423E0,1.320879946E1
2.640546500E0,1.330762665E1,-5.685177612E-1,1.383423157E0,1.339141513E1
2.650612500E0,1.333831284E1,-4.547543335E-1,1.386416931E0,1.341788145E1
2.660678500E0,1.353395599E1,-4.141886902E-1,1.488804016E0,1.362189614E1
2.670744500E0,1.372690475E1,-3.959266663E-1,1.440155182E0,1.380792233E1
2.680809500E0,1.398362091E1,-5.194198608E-1,1.169068909E0,1.404201456E1
2.690875500E0,1.433194656E1,-7.268884277E-1,7.563771057E-1,1.437028759E1
2.700941500E0,1.482337463E1,-1.260528717E0,2.866539001E-1,1.487963503E1
2.711006500E0,1.506407410E1,-1.979932709E0,7.454498291E-2,1.519381515E1
2.721072500E0,1.506991196E1,-2.712209930E0,3.191363525E-1,1.531535756E1
2.731138500E0,1.519580017E1,-3.215463409E0,9.475296021E-1,1.556114906E1
2.741204500E0,1.546598831E1,-3.491190033E0,1.664388885E0,1.594225181E1
2.751269500E0,1.595726669E1,-3.526067505E0,2.181413727E0,1.648714888E1
2.761335500E0,1.640363846E1,-3.229085083E0,2.275268555E0,1.687255737E1
2.771401500E0,1.659000092E1,-2.950664062E0,2.082619171E0,1.697857036E1
2.781466500E0,1.636561752E1,-2.885848846E0,1.770518188E0,1.671216010E1
2.791532500E0,1.585128708E1,-3.093616791E0,1.420695648E0,1.621271547E1
2.801598500E0,1.523591675E1,-3.645219727E0,1.139879608E0,1.570732668E1
2.811664500E0,1.456830505E1,-4.263733521E0,1.111438751E0,1.522006018E1
2.821729500E0,1.398601593E1,-4.859344940E0,1.226100311E0,1.485682324E1
2.831795500E0,1.361329102E1,-5.492079163E0,1.365909576E0,1.474280620E1
2.841861500E0,1.331496140E1,-6.037095795E0,1.507664795E0,1.469720299E1
2.851926500E0,1.309686493E1,-6.464307404E0,1.546134796E0,1.468692187E1
2.861992500E0,1.316482361E1,-6.821315002E0,1.507515106E0,1.490354055E1
2.872058500E0,1.345492035E1,-7.145241394E0,1.450184326E0,1.530334574E1
2.882124500E0,1.366762802E1,-7.385940857E0,1.461261292E0,1.560421298E1
2.892189500E0,1.371403152E1,-7.496411133E0,1.587598572E0,1.570959292E1
2.902255500E0,1.351554428E1,-7.538473663E0,1.743274841E0,1.557361646E1
2.912321500E0,1.316123108E1,-7.496710510E0,1.899100800E0,1.526516478E1
2.922386500E0,1.273416916E1,-7.344327393E0,1.988015900E0,1.483409641E1
2.932452500E0,1.228210922E1,-7.194189606E0,2.049088898E0,1.438072795E1
2.942518500E0,1.185205353E1,-6.904841309E0,2.067650299E0,1.387166840E1
2.952584500E0,1.146435974E1,-6.627617798E0,2.046993256E0,1.339951653E1
2.962649500E0,1.098775085E1,-6.399941254E0,1.975591736E0,1.286828969E1
2.972715500E0,1.051383636E1,-6.227799225E0,1.789378967E0,1.235022734E1
2.982781500E0,1.005249573E1,-6.117628326E0,1.580563202E0,1.187334101E1
2.992846500E0,9.633666687E0,-6.010600891E0,1.371298370E0,1.143745234E1
3.002912500E0,9.320517883E0,-5.943390656E0,1.163530426E0,1.111529348E1
3.012978500E0,8.973240051E0,-5.936504974E0,1.075064392E0,1.081281146E1
3.023044500E0,8.545579376E0,-5.971831512E0,1.034798126E0,1.047666482E1
3.033109500E0,8.148455200E0,-6.033802643E0,1.043629761E0,1.019280430E1
3.043175500E0,7.765252075E0,-6.117478638E0,1.130299530E0,9.949887522E0
3.053241500E0,7.384743347E0,-6.176605682E0,1.230740662E0,9.705648594E0
3.063306500E0,7.034172363E0,-6.196514282E0,1.337169342E0,9.469128362E0
3.073372500E0,6.740483093E0,-6.172863464E0,1.426533508E0,9.250586659E0
3.083438500E0,6.488107910E0,-6.128555603E0,1.438658295E0,9.040159054E0
3.093504500E0,6.256689148E0,-6.058950348E0,1.425036621E0,8.825404681E0
3.103569500E0,5.986800385E0,-5.976322174E0,1.362317047E0,8.568203622E0
3.113635500E0,5.632786560E0,-5.902525635E0,1.354533234E0,8.270601767E0
3.123701500E0,5.370531921E0,-5.841003571E0,1.368454285E0,8.051869532E0
3.133766500E0,5.119054871E0,-5.866001587E0,1.377734985E0,7.906506882E0
3.143832500E0,4.860093384E0,-5.951324158E0,1.308578796E0,7.794302111E0
3.153898500E0,4.804409180E0,-6.169270935E0,1.144519958E0,7.902669003E0
3.163964500E0,4.705464935E0,-6.352040863E0,9.716294861E-1,7.964539362E0
