"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.773269608E2,-8.866362305E0,-5.964496765E0,-5.312003632E0,1.193335597E1
1.773370278E2,-8.518485718E0,-5.748346252E0,-5.067112885E0,1.145791065E1
1.773470938E2,-8.179590454E0,-5.566175079E0,-4.546046448E0,1.088827550E1
1.773571598E2,-7.914791107E0,-5.462740173E0,-3.813170471E0,1.034532346E1
1.773672268E2,-7.713160400E0,-5.237458649E0,-2.957250366E0,9.781060586E0
1.773772928E2,-7.604037323E0,-5.110971680E0,-2.243384857E0,9.432719159E0
1.773873588E2,-7.528145142E0,-4.953349457E0,-1.663790131E0,9.163887696E0
1.773974258E2,-7.439529419E0,-4.705464935E0,-1.272503815E0,8.894226453E0
1.774074918E2,-7.341183929E0,-4.512965240E0,-1.120420074E0,8.689946944E0
1.774175588E2,-7.239994354E0,-4.298461304E0,-1.158141632E0,8.499151715E0
1.774276248E2,-7.197782135E0,-4.165388031E0,-1.380130005E0,8.429904148E0
1.774376908E2,-7.159761200E0,-4.059408417E0,-1.705403595E0,8.405318468E0
1.774477578E2,-7.163353729E0,-3.973337402E0,-2.043400726E0,8.442543058E0
1.774578238E2,-7.168742523E0,-3.983216858E0,-2.311792603E0,8.520637942E0
1.774678898E2,-7.167545013E0,-4.074526978E0,-2.505340118E0,8.616971668E0
1.774779568E2,-7.240892487E0,-4.256548462E0,-2.569406891E0,8.783540322E0
1.774880228E2,-7.391778717E0,-4.540957031E0,-2.454296265E0,9.015667114E0
1.774980888E2,-7.498207397E0,-4.761149139E0,-2.234253845E0,9.158796075E0
1.775081558E2,-7.569010162E0,-5.011129303E0,-2.021396484E0,9.299858895E0
1.775182218E2,-7.660769348E0,-5.253475342E0,-1.784439240E0,9.458890716E0
1.775282878E2,-7.771539001E0,-5.391787720E0,-1.486259308E0,9.574819058E0
1.775383548E2,-7.889194336E0,-5.350773010E0,-1.184037781E0,9.605837004E0
1.775484208E2,-8.088879089E0,-5.231022034E0,-9.993218994E-1,9.684637355E0
1.775584868E2,-8.389004974E0,-5.036875763E0,-9.994715881E-1,9.835876441E0
1.775685538E2,-8.652606812E0,-4.715045013E0,-1.138682098E0,9.919468284E0
1.775786198E2,-9.068741455E0,-4.568649445E0,-1.378034363E0,1.024761475E1
1.775886858E2,-9.484876099E0,-4.454436951E0,-1.671124878E0,1.061119887E1
1.775987528E2,-9.847422180E0,-4.365821228E0,-1.938319244E0,1.094482527E1
1.776088188E2,-1.020562729E1,-4.379143524E0,-2.178869019E0,1.131720798E1
1.776188848E2,-1.060275146E1,-4.377796326E0,-2.324516144E0,1.170413664E1
1.776289518E2,-1.103355560E1,-4.416416016E0,-2.437830505E0,1.213206896E1
1.776390177E2,-1.162183228E1,-4.533622284E0,-2.521057434E0,1.272699678E1
1.776490847E2,-1.235845047E1,-4.750670929E0,-2.633024597E0,1.349937002E1
1.776591507E2,-1.351524490E1,-5.109923859E0,-2.815495148E0,1.472073978E1
1.776692167E2,-1.481514175E1,-5.710175629E0,-3.075953522E0,1.617269368E1
1.776792837E2,-1.576162354E1,-6.233936462E0,-2.967279510E0,1.720742537E1
1.776893497E2,-1.604124207E1,-6.382577362E0,-2.346221008E0,1.742307360E1
1.776994157E2,-1.626128448E1,-6.372398529E0,-1.480421448E0,1.752793438E1
1.777094827E2,-1.657847488E1,-6.441405029E0,-7.647596741E-1,1.780231405E1
1.777195487E2,-1.667262909E1,-6.307583313E0,-1.399589539E-1,1.782643421E1
1.777296147E2,-1.635259460E1,-6.090235291E0,3.254232788E-1,1.745291427E1
1.777396817E2,-1.571851318E1,-5.967340851E0,5.566923523E-1,1.682232802E1
1.777497477E2,-1.481259705E1,-6.147416382E0,2.944377136E-1,1.604027596E1
1.777598137E2,-1.365400635E1,-6.517895966E0,-4.465214539E-1,1.513652003E1
1.777698807E2,-1.270183640E1,-6.851701813E0,-1.182540894E0,1.448036148E1
1.777799467E2,-1.194036987E1,-7.214098206E0,-1.845811615E0,1.407205266E1
1.777900127E2,-1.138173157E1,-7.677384796E0,-2.396516418E0,1.393661873E1
